sampleid	Phylum	Class	Order	Family	Genus	Species	DietSimp	DietSpec	Diet_2	Notes	Study	16S515F-806R	FASTQ.gzfiles	Metadata(custom)	pairedORsingle	initials	duplicate
Mathai30	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_Marinus	Carnivore	Carnivore	fish	NA	Mathai_et_al_2021	V4	yes	NA	paired	DW	NA
Li1	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li2	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li3	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li4	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li5	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li6	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li7	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li8	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li9	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li10	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li11	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Li12	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus_Galloprovincialis	Omnivore	Planktivore	NA	NA	Li_et_al_2019	V3-V4	yes	NA	paired	DW	NA
Clever1	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever2	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever3	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever4	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever5	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever6	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever7	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever8	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever9	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever10	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever11	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever12	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever13	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever14	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever15	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever16	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever17	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever18	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever19	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever20	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever21	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever22	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever23	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever24	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever25	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever26	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever27	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever28	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Clever29	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
