sampleid	Phylum	Class	Order	Family	Genus	Species	DietSimp	DietSpec	Diet_2	Notes	Study	16S515F-806R	FASTQ.gzfiles	Metadata(custom)	pairedORsingle	initials	duplicate
Cini29	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa_velutina	Omnivore	Omnivore	NA	NA	Cini_et_al_2020	V3-V4	yes	yes	paired	DW	NA
Cini30	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa_velutina	Omnivore	Omnivore	NA	NA	Cini_et_al_2020	V3-V4	yes	yes	paired	DW	NA
Hakim-purpuratus1	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus_purpuratus	Herbivore	Herbivore	NA	usedforwardreadsonly	Hakim_et_al_2019	V4	yes	No	paired	NT	NA
Hakim-purpuratus2	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus_purpuratus	Herbivore	Herbivore	NA	usedforwardreadsonly	Hakim_et_al_2019	V4	yes	No	paired	NT	NA
Hakim-purpuratus3	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus_purpuratus	Herbivore	Herbivore	NA	usedforwardreadsonly	Hakim_et_al_2019	V4	yes	No	paired	NT	NA
Cock1	Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	Ceratitis_capitata	Herbivore	Herbivore	Frugivore	NA	Cock_et_al_2019	V3-V4	yes	No	paired	NT	NA
Cock2	Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	Ceratitis_capitata	Herbivore	Herbivore	Frugivore	NA	Cock_et_al_2019	V3-V4	yes	No	paired	NT	NA
Cock3	Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	Ceratitis_capitata	Herbivore	Herbivore	Frugivore	NA	Cock_et_al_2019	V3-V4	yes	No	paired	NT	NA
Cock4	Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	Ceratitis_capitata	Herbivore	Herbivore	Frugivore	NA	Cock_et_al_2019	V3-V4	yes	No	paired	NT	NA
Silva1	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva2	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva3	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva4	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva5	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva6	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva7	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva8	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva9	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva10	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva11	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva12	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva13	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva14	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva15	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva16	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva17	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva18	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva19	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva20	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva21	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva22	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva23	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva24	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva25	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva26	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva27	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva28	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Silva29	Arthropoda	Insecta	Diptera	Culicidae	Haemagogus	Haemagogus_leucocelaenus	Carnivore	Carnivore	Blood	NA	Silva_et_al_2022	V4	yes	No	paired	NT	NA
Liu-dorsalis1	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera_dorsalis	Herbivore	Herbivore	Frugivore	NA	NA	NA	yes	No	paired	NT	NA
Jeon1	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon2	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon3	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon4	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon5	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon6	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon7	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon8	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon9	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon10	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon11	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon12	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon13	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon14	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon15	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon16	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon17	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Jeon18	Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera_frugiperda	Herbivore	Herbivore	Maize	NA	Jeon_et_al_2023	V3-V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis1	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase129	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis2	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase130	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis3	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase131	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis4	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase132	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis5	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase133	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis6	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase134	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis7	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase135	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis8	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase136	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis9	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase137	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis10	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase138	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis11	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase139	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis12	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase140	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis13	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase141	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis14	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase142	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis15	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase143	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis16	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase144	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis17	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase145	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis18	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase146	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis19	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase147	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis20	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase148	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis21	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase149	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis22	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase150	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis23	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase151	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis24	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase152	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis25	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase153	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis26	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase154	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis27	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase155	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis28	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase156	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis29	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase157	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Wasimuddin-jamaicensis30	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_jamaicensis	Herbivore	Herbivore	Frugivore	Reversereaduntilbase158	Wasimuddin_et_al_2018	V4	yes	No	paired	NT	NA
Sapkota-flavipes1	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Reticulitermes	Reticulitermes_flavipes	Herbivore	Herbivore	Woodcellulose	NA	Sapkota_et_al_2022	V3-V4	yes	No	paired	NT	NA
Sapkota-flavipes2	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Reticulitermes	Reticulitermes_flavipes	Herbivore	Herbivore	Woodcellulose	NA	Sapkota_et_al_2022	V3-V4	yes	No	paired	NT	NA
Sapkota-flavipes3	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Reticulitermes	Reticulitermes_flavipes	Herbivore	Herbivore	Woodcellulose	NA	Sapkota_et_al_2022	V3-V4	yes	No	paired	NT	NA
Sapkota-flavipes4	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Reticulitermes	Reticulitermes_flavipes	Herbivore	Herbivore	Woodcellulose	NA	Sapkota_et_al_2022	V3-V4	yes	No	paired	NT	NA
Sapkota-flavipes5	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Reticulitermes	Reticulitermes_flavipes	Herbivore	Herbivore	Woodcellulose	NA	Sapkota_et_al_2022	V3-V4	yes	No	paired	NT	NA
Sapkota-flavipes6	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Reticulitermes	Reticulitermes_flavipes	Herbivore	Herbivore	Woodcellulose	NA	Sapkota_et_al_2022	V3-V4	yes	No	paired	NT	NA
Sapkota-flavipes7	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Reticulitermes	Reticulitermes_flavipes	Herbivore	Herbivore	Woodcellulose	NA	Sapkota_et_al_2022	V3-V4	yes	No	paired	NT	NA
Sapkota-flavipes8	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Reticulitermes	Reticulitermes_flavipes	Herbivore	Herbivore	Woodcellulose	NA	Sapkota_et_al_2022	V3-V4	yes	No	paired	NT	NA
Sapkota-flavipes9	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Reticulitermes	Reticulitermes_flavipes	Herbivore	Herbivore	Woodcellulose	NA	Sapkota_et_al_2022	V3-V4	yes	No	paired	NT	NA
hwang1	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang2	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang3	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang4	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang5	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang6	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang7	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang8	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang9	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang10	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang11	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang12	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang13	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang14	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang15	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang16	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang17	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang18	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang19	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang20	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang21	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang22	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang23	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
hwang24	Annelida	Clitellata	Opisthopora	Lumbricidae	Metaphire	Metaphire_sieboldi	Omnivore	Detritivore	NA	NA	Wang_et_al_2019	V4-V5	yes	No	single	SJ	NA
Wang-Haliotis-discus1	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis_Discus	Herbivore	Herbivore	algae	NA	Wang_et_al_2020	V3-V4	yes	NA	paired	EK	NA
Wang-Haliotis-discus2	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis_Discus	Herbivore	Herbivore	algae	NA	Wang_et_al_2020	V3-V4	yes	NA	paired	EK	NA
Wang-Haliotis-discus3	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis_Discus	Herbivore	Herbivore	algae	NA	Wang_et_al_2020	V3-V4	yes	NA	paired	EK	NA
Wang-Haliotis-discus4	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis_Discus	Herbivore	Herbivore	algae	NA	Wang_et_al_2020	V3-V4	yes	NA	paired	EK	NA
Wang-Haliotis-discus5	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis_Discus	Herbivore	Herbivore	algae	NA	Wang_et_al_2020	V3-V4	yes	NA	paired	EK	NA
Wang-Haliotis-discus6	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis_Discus	Herbivore	Herbivore	algae	NA	Wang_et_al_2020	V3-V4	yes	NA	paired	EK	NA
Wang-Haliotis-discus7	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis_Discus	Herbivore	Herbivore	algae	NA	Wang_et_al_2020	V3-V4	yes	NA	paired	EK	NA
Wang-Haliotis-discus8	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis_Discus	Herbivore	Herbivore	algae	NA	Wang_et_al_2020	V3-V4	yes	NA	paired	EK	NA
Wang-Haliotis-discus9	Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis_Discus	Herbivore	Herbivore	algae	NA	Wang_et_al_2020	V3-V4	yes	NA	paired	EK	NA
